"","Specimen.ID","Genus","Species","Serotype","Data.Year","AZM.Rslt"
"338","2015AM-0828","Salmonella","enterica","Typhimurium",2015,4
"339","2015AM-0830","Salmonella","enterica","Typhimurium",2015,2
"340","2015AM-0831","Salmonella","enterica","Braenderup",2015,4
"341","2015AM-0832","Salmonella","enterica","Enteritidis",2015,2
"342","2015AM-0833","Salmonella","enterica","Muenchen",2015,2
"343","2015AM-0834","Salmonella","enterica","Newport",2015,2
"344","2015AM-0841","Salmonella","enterica","Braenderup",2015,2
"345","2015AM-0842","Salmonella","enterica","Enteritidis",2015,2
"346","2015AM-0843","Salmonella","enterica","Enteritidis",2015,2
"347","2015AM-0844","Salmonella","enterica","Enteritidis",2015,2
"348","2015AM-0845","Salmonella","enterica","Telelkebir",2015,4
"349","2015AM-0846","Salmonella","enterica","Subspecies I, Group D1",2015,4
"350","2015AM-0847","Salmonella","enterica","Infantis",2015,2
"351","2015AM-0848","Salmonella","enterica","Manhattan",2015,2
"352","2015AM-0849","Salmonella","enterica","Tallahassee",2015,2
"353","2015AM-0853","Salmonella","enterica","Typhimurium",2015,2
"354","2015AM-0859","Salmonella","enterica","Braenderup",2015,4
"355","2015AM-0860","Salmonella","enterica","Enteritidis",2015,2
"356","2015AM-0861","Salmonella","enterica","Enteritidis",2015,4
"357","2015AM-0862","Salmonella","enterica","Enteritidis",2015,2
"358","2015AM-0863","Salmonella","enterica","Enteritidis",2015,2
"359","2015AM-0864","Salmonella","enterica","Enteritidis",2015,4
"360","2015AM-0865","Salmonella","enterica","Heidelberg",2015,2
"361","2015AM-0866","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"362","2015AM-0867","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"363","2015AM-0868","Salmonella","enterica","Infantis",2015,8
"364","2015AM-0869","Salmonella","enterica","Newport",2015,4
"365","2015AM-0870","Salmonella","enterica","Norwich",2015,2
"366","2015AM-0871","Salmonella","enterica","Norwich",2015,4
"367","2015AM-0872","Salmonella","enterica","Saintpaul",2015,4
"368","2015AM-0875","Salmonella","enterica","Typhimurium",2015,2
"369","2015AM-0876","Salmonella","enterica","Typhimurium",2015,2
"370","2015AM-0877","Salmonella","enterica","Typhimurium",2015,2
"371","2015AM-0878","Salmonella","enterica","Typhimurium",2015,2
"372","2015AM-0879","Salmonella","enterica","Typhimurium",2015,2
"373","2015AM-0880","Salmonella","enterica","Typhimurium",2015,2
"374","2015AM-0896","Salmonella","enterica","Anatum",2015,0.25
"375","2015AM-0897","Salmonella","enterica","Anatum",2015,2
"376","2015AM-0898","Salmonella","enterica","Kiambu",2015,4
"377","2015AM-0899","Salmonella","enterica","Enteritidis",2015,2
"378","2015AM-0900","Salmonella","enterica","Heidelberg",2015,2
"379","2015AM-0901","Salmonella","enterica","Infantis",2015,4
"380","2015AM-0902","Salmonella","enterica","Mississippi",2015,2
"381","2015AM-0903","Salmonella","enterica","Montevideo",2015,2
"382","2015AM-0905","Salmonella","enterica","Newport",2015,2
"383","2015AM-0906","Salmonella","enterica","Newport",2015,4
"384","2015AM-0907","Salmonella","enterica","Pomona",2015,4
"385","2015AM-0908","Salmonella","enterica","Rubislaw",2015,2
"386","2015AM-0909","Salmonella","enterica","Thompson",2015,2
"387","2015AM-0922","Salmonella","enterica","Agona",2015,4
"388","2015AM-0923","Salmonella","enterica","Braenderup",2015,4
"389","2015AM-0924","Salmonella","enterica","Gaminara",2015,4
"390","2015AM-0925","Salmonella","enterica","Give",2015,2
"391","2015AM-0926","Salmonella","enterica","Heidelberg",2015,4
"392","2015AM-0927","Salmonella","enterica","Infantis",2015,4
"393","2015AM-0928","Salmonella","enterica","Newport",2015,2
"394","2015AM-0929","Salmonella","enterica","Litchfield",2015,2
"395","2015AM-0930","Salmonella","enterica","Montevideo",2015,2
"396","2015AM-0931","Salmonella","enterica","Montevideo",2015,4
"397","2015AM-0932","Salmonella","enterica","Muenchen",2015,2
"398","2015AM-0933","Salmonella","enterica","Newport",2015,2
"399","2015AM-0934","Salmonella","enterica","Oranienburg",2015,4
"400","2015AM-0942","Salmonella","enterica","Bareilly",2015,2
"401","2015AM-0943","Salmonella","enterica","Enteritidis",2015,2
"402","2015AM-0944","Salmonella","enterica","Enteritidis",2015,2
"403","2015AM-0945","Salmonella","enterica","Heidelberg",2015,4
"404","2015AM-0946","Salmonella","enterica","I 4,[5],12:i:-",2015,4
"405","2015AM-0947","Salmonella","enterica","Javiana",2015,4
"406","2015AM-0948","Salmonella","enterica","Mississippi",2015,4
"407","2015AM-0949","Salmonella","enterica","Mississippi",2015,4
"408","2015AM-0950","Salmonella","enterica","Paratyphi B var. L(+) tartrate+",2015,4
"409","2015AM-0951","Salmonella","enterica","Poona",2015,4
"410","2015AM-0952","Salmonella","enterica","Reading",2015,4
"411","2015AM-0953","Salmonella","enterica","Saintpaul",2015,2
"412","2015AM-0954","Salmonella","enterica","Miami",2015,4
"413","2015AM-0956","Salmonella","enterica","Typhimurium",2015,2
"414","2015AM-0976","Salmonella","enterica","Enteritidis",2015,2
"415","2015AM-0977","Salmonella","enterica","Poona",2015,4
"416","2015AM-0978","Salmonella","enterica","Typhimurium",2015,2
"417","2015AM-0981","Salmonella","enterica","Enteritidis",2015,2
"418","2015AM-0982","Salmonella","enterica","Braenderup",2015,4
"419","2015AM-0983","Salmonella","enterica","Infantis",2015,4
"420","2015AM-0984","Salmonella","enterica","Oranienburg",2015,4
